station_id,create_time,station_lg,station_lt,station_fast_cnt,station_slow_cnt,construction,park_num,WGS84_station_lg,WGS84_station_lt,DB09_station_lg,DB09_station_lt,Service_population
TSU201919_HD001,2019/1/18 8:00,113.396934,22.920511,88,0,0,104,113.391425,22.923095,113.403367,22.926847,218109.0864
101437000_24733,2023/11/23 17:22,113.560555,23.18644,88,0,0,90,113.555417,23.18924,113.567111,23.192265,218109.0864
101437000_36517,2024/8/4 18:37,113.561208,23.186066,88,0,0,1,113.556071,23.188868,113.567766,23.191881,218109.0864
101437000_1470,2019/10/25 0:51,113.306145,23.216162,86,0,0,0,113.300763,23.218764,113.312635,23.222231,213152.0617
MA59P1AN5_6525,2021/5/2 8:00,113.276142,22.976107,86,0,255,0,113.270817,22.978843,113.282578,22.982441,213152.0617
101437000_25907,2023/12/18 16:27,113.234655,23.067972,86,0,0,88,113.229329,23.070669,113.241224,23.073731,213152.0617
101437000_1170,2019/9/23 11:18,113.359748,23.089468,84,0,0,62,113.35427,23.092021,113.366294,23.095296,208195.0371
101437000_3724,2020/6/2 10:53,113.290868,23.258529,84,0,0,84,113.285507,23.261139,113.297292,23.264812,208195.0371
101437000_19579,2023/7/13 17:48,113.323958,23.269363,84,0,0,56,113.318538,23.271916,113.330494,23.275134,208195.0371
101437000_12343,2022/10/13 11:02,113.328709,23.061334,80,10,0,48,113.323293,23.063956,113.335284,23.067055,206542.6955
101437000_32121,2024/5/23 15:41,113.376505,23.079999,83,0,0,86,113.371002,23.082532,113.382999,23.086116,205716.5247
MA4UP2019_9461340969570043589,2019/7/23 8:00,113.282319,23.056432,82,0,255,0,113.276983,23.059128,113.288765,23.062772,203238.0124
MA59P1AN5_6520,2021/5/2 8:00,113.507225,23.083639,82,0,255,0,113.501927,23.086341,113.513685,23.089909,203238.0124
MA5APE392_HD001,2019/3/21 10:04,113.397227,22.920889,80,0,8,104,113.391718,22.923473,113.40366,22.927226,198280.9877
67345703X_1,2020/10/12 11:09,113.567874,22.808658,80,0,255,0,113.562776,22.811625,113.574438,22.814385,198280.9877
MA59P1AN5_6551,2021/5/2 8:00,113.396894,22.921032,80,0,255,0,113.391385,22.923616,113.403327,22.927368,198280.9877
231227827_879,2021/5/14 9:28,113.620569,23.531785,80,0,255,0,113.615467,23.534551,113.627043,23.537966,198280.9877
231227827_884,2021/5/14 9:28,113.632247,23.151648,80,0,255,0,113.627163,23.154484,113.638675,23.15796,198280.9877
395815801_4401050014,2018/12/14 15:06,113.326406,23.056022,79,0,2,0,113.320995,23.058651,113.332973,23.061768,195802.4753
101437000_32125,2024/5/23 15:40,113.40917,23.118332,78,0,0,72,113.403646,23.12083,113.415592,23.12463,193323.963
MA5AUTPR9_7940,2021/12/15 17:30,113.40922,23.118304,72,16,1,0,113.403696,23.120802,113.415643,23.124602,191671.6214
101437000_2458,2019/12/16 14:21,113.39665,22.920883,74,0,0,0,113.391141,22.923467,113.403083,22.927218,183409.9136
MA5AK2NB6_14,2020/2/20 8:00,113.205299,23.11447,74,0,255,0,113.199935,23.117112,113.211835,23.120223,183409.9136
101437000_5644,2021/4/20 13:49,113.394875,23.128837,74,0,0,74,113.389352,23.131334,113.401289,23.135161,183409.9136
914401153_JT0136,2019/8/12 8:00,113.265989,23.375974,68,16,2,0,113.260645,23.378576,113.272418,23.382223,181757.572
101437000_1180,2019/9/24 10:46,113.307863,23.247498,72,0,0,72,113.302476,23.250086,113.314336,23.253532,178452.8889
101437000_4942,2020/12/3 10:48,113.390951,23.131301,72,0,0,72,113.385431,23.133799,113.39737,23.1376,178452.8889
MA59P1AN5_6600,2021/5/2 8:00,113.39111,23.130839,72,0,255,0,113.38559,23.133337,113.397528,23.137139,178452.8889
101437000_8333,2022/3/28 11:29,113.222519,23.168913,72,0,0,0,113.217175,23.171558,113.229097,23.174578,178452.8889
101437000_23945,2023/11/8 12:05,113.331991,23.09585,72,0,0,72,113.326566,23.098451,113.338559,23.10154,178452.8889
MA5AK2NB6_4,2018/12/27 16:56,113.398958,23.166245,70,0,6,0,113.39343,23.168725,113.405395,23.172586,173495.8642
101437000_3364,2020/4/20 13:30,113.290556,23.221575,70,0,0,0,113.285198,23.224197,113.296995,23.227864,173495.8642
MA59P1AN5_6575,2021/5/2 8:00,113.290868,23.258529,70,0,255,0,113.285507,23.261139,113.297292,23.264812,173495.8642
MA59P1AN5_6569,2021/5/2 8:00,113.290556,23.221575,70,0,255,0,113.285198,23.224197,113.296995,23.227864,173495.8642
MA5DT8Q54_4401120014,2021/12/10 8:00,113.480244,23.188336,40,90,1,0,113.474847,23.190917,113.486798,23.194174,173495.8642
MA7MRR406_115032,2024/4/3 15:50,113.290045,23.266858,70,0,5,100,113.284685,23.269466,113.296472,23.273149,173495.8642
101437000_31095,2024/4/30 12:41,113.324146,23.088039,70,0,0,70,113.318738,23.090658,113.330704,23.093812,173495.8642
673457030_1,2021/3/26 14:07,113.567874,22.808658,68,5,255,0,113.562776,22.811625,113.574438,22.814385,172669.6934
A5DM667X3_410,2018/12/27 15:54,113.217169,23.134876,68,0,255,0,113.211821,23.137527,113.223719,23.140536,168538.8395
MA5AU5N17_410,2019/3/13 8:00,113.216858,23.128408,68,0,255,0,113.21151,23.131061,113.223407,23.134069,168538.8395
101437000_1396,2019/10/18 15:28,113.33408,23.09657,68,0,0,0,113.328651,23.099167,113.340649,23.102247,168538.8395
MA59P1AN5_6528,2021/5/2 8:00,113.334796,23.096747,68,0,255,0,113.329365,23.099343,113.341366,23.10242,168538.8395
101437000_15177,2023/3/6 11:25,113.212239,23.396739,68,0,0,0,113.206866,23.399306,113.2188,23.402426,168538.8395
MA59JE6Y2_112714,2024/4/28 20:07,113.269623,23.341016,67,0,1,100,113.264279,23.343623,113.276062,23.347307,166060.3272
MA5CYYPT-1_S15948697244986,2021/7/27 19:21,113.368393,23.079866,66,0,255,0,113.362901,23.08241,113.374916,23.085841,163581.8148
101437000_19765,2023/7/19 12:59,113.399106,22.992252,66,0,0,66,113.39359,22.994804,113.405525,22.998589,163581.8148
MA5AK2NB6_11,2020/2/19 8:00,113.384666,22.951549,65,0,255,0,113.379163,22.954129,113.391138,22.957789,161103.3025
914401153_85150002,2021/8/9 12:10,113.287182,23.072948,64,0,2,0,113.281839,23.075632,113.293637,23.079268,158624.7901
101437000_37273,2024/8/17 13:31,113.556259,22.800173,64,0,0,64,113.551136,22.803123,113.562781,22.806063,158624.7901
MA59RJTY6_258,2020/10/28 8:00,113.630352,23.111577,62,0,5,62,113.625272,23.114431,113.63678,23.117873,153667.7654
101437000_6216,2021/9/6 10:22,113.315315,23.263173,62,0,0,62,113.309912,23.265744,113.321819,23.269077,153667.7654
101437000_32979,2024/6/8 13:58,113.630706,23.111848,62,0,0,62,113.625626,23.114701,113.637133,23.118147,153667.7654
MA5AU5N17_407,2019/3/19 13:48,113.429401,23.027094,60,0,255,0,113.423897,23.02964,113.435887,23.033102,148710.7408
101437000_262,2019/7/9 11:34,113.240194,23.18821,60,0,0,60,113.234863,23.190863,113.246748,23.194047,148710.7408
101437000_808,2019/8/31 23:29,113.295643,23.223671,60,0,0,60,113.290278,23.226286,113.302092,23.229902,148710.7408
101437000_2852,2020/3/4 14:04,113.249033,23.163973,60,0,0,0,113.243706,23.166638,113.255541,23.169957,148710.7408
MA5AK2NB6_29,2020/10/12 8:00,113.429401,23.027094,60,0,255,0,113.423897,23.02964,113.435887,23.033102,148710.7408
359950395_C020BYK06,2020/11/12 8:00,113.55816,23.10853,60,0,255,0,113.553021,23.111356,113.56468,23.114387,148710.7408
MA5AK2NB6_60,2021/1/14 8:00,113.300214,23.30325,60,0,255,0,113.294836,23.305834,113.306698,23.30942,148710.7408
MA59P1AN5_6615,2021/5/2 8:00,113.295643,23.223671,60,0,255,0,113.290278,23.226286,113.302092,23.229902,148710.7408
MA9UP5NM7_5940,2021/6/21 15:45,113.210961,23.26407,60,0,5,0,113.205595,23.266667,113.217509,23.269765,148710.7408
101437000_6746,2021/11/22 17:55,113.350201,23.082053,60,0,0,0,113.34474,23.084626,113.356776,23.087764,148710.7408
101437000_6917,2021/11/30 10:08,113.416565,23.11674,60,0,0,0,113.411044,23.11924,113.423005,23.122957,148710.7408
101437000_6923,2021/12/3 15:44,113.240711,23.182195,60,0,0,0,113.23538,23.18485,113.247261,23.18804,148710.7408
101437000_7499,2021/12/27 16:59,113.360166,23.110998,60,0,0,0,113.354685,23.113542,113.366689,23.116828,148710.7408
101437000_8125,2022/2/25 16:05,113.261951,23.204344,60,0,0,60,113.25662,23.206994,113.268425,23.210546,148710.7408
101437000_11013,2022/8/12 11:36,113.273278,23.161739,60,0,0,0,113.267943,23.1644,113.279715,23.168058,148710.7408
101437000_14963,2023/2/17 12:10,113.28954,23.204547,60,0,0,0,113.284185,23.207176,113.295993,23.210848,148710.7408
101437000_23127,2023/10/19 1:08,113.382844,23.011401,60,0,0,60,113.377339,23.013957,113.389281,23.017609,148710.7408
101437000_23151,2023/10/19 15:44,113.304136,23.064559,60,0,0,16,113.298767,23.067223,113.310634,23.070666,148710.7408
101437000_25061,2023/11/29 23:44,113.333951,23.217129,60,0,0,60,113.328514,23.21968,113.34052,23.222807,148710.7408
101437000_28903,2024/3/15 6:32,113.285086,22.991435,60,0,0,42,113.279751,22.994156,113.291508,22.997761,148710.7408
MA1YDN61Y_MA1YDN61X.336430,2024/5/20 10:50,113.383231,23.136609,60,0,255,60,113.377717,23.139112,113.389668,23.142822,148710.7408
101437000_32761,2024/6/4 23:28,113.309029,23.009012,60,0,0,60,113.303655,23.011692,113.315506,23.015025,148710.7408
101437000_36995,2024/8/12 15:12,113.232922,23.365683,60,0,0,60,113.227574,23.368279,113.239458,23.371414,148710.7408
101437000_74,2019/3/16 17:51,113.363028,23.20951,58,0,0,58,113.357536,23.212012,113.369563,23.215391,143753.7161
101437000_1352,2019/10/17 23:55,113.276142,22.976107,58,0,0,66,113.270817,22.978843,113.282578,22.982441,143753.7161
101437000_5270,2021/1/11 17:02,113.372732,23.078373,58,0,0,0,113.367234,23.080912,113.37924,23.084425,143753.7161
MA59P1AN5_6561,2021/5/2 8:00,113.368574,23.302114,58,0,255,0,113.363067,23.304578,113.375097,23.308092,143753.7161
MA59P1AN5_6625,2021/5/2 8:00,113.372732,23.078373,58,0,255,0,113.367234,23.080912,113.37924,23.084425,143753.7161
MA5AK2NB6_2,2018/12/27 16:56,113.310628,23.433442,56,0,255,0,113.305223,23.435984,113.31715,23.439435,138796.6914
101437000_1398,2019/10/18 15:27,113.344187,23.236082,56,0,0,0,113.338728,23.238607,113.35074,23.241747,138796.6914
MA59P1AN5_6614,2021/5/2 8:00,113.371768,23.188501,56,0,255,0,113.366264,23.190997,113.378281,23.194536,138796.6914
MA59P1AN5_6518,2021/5/2 8:00,113.282558,23.32919,56,0,255,0,113.277203,23.33179,113.288999,23.335529,138796.6914
MA59P1AN5_6529,2021/5/2 8:00,113.344575,23.236775,56,0,255,0,113.339115,23.239299,113.351128,23.242442,138796.6914
MA5ALU2Y2_767,2021/8/26 8:00,113.40573,23.135,56,0,255,0,113.400204,23.137491,113.412145,23.141321,138796.6914
101437000_6656,2021/11/11 15:13,113.27365,23.207538,56,0,0,56,113.268312,23.210182,113.280096,23.213862,138796.6914
101437000_6744,2021/11/19 11:49,113.405951,23.136708,56,0,0,56,113.400425,23.139198,113.412367,23.143028,138796.6914
MA9YC3091_41955,2022/7/29 16:57,113.525041,22.822494,56,0,2,0,113.519823,22.825358,113.531493,22.828826,138796.6914
101437000_15453,2023/3/10 16:37,113.28065,23.046286,56,0,0,56,113.275316,23.048988,113.287087,23.052627,138796.6914
101437000_17371,2023/5/11 21:37,113.530379,22.784685,56,0,0,40,113.525181,22.787577,113.536806,22.790974,138796.6914
MA59P1AN5_17960,2023/8/26 8:03,113.27365,23.207538,56,0,255,0,113.268312,23.210182,113.280096,23.213862,138796.6914
MA5DT8Q54_4401830005,2021/12/10 8:00,113.817713,23.282128,55,0,1,0,113.81261,23.284815,113.824285,23.287789,136318.179
MA59EU2Y3_11703,2019/4/2 18:27,113.523705,23.182085,54,0,6,0,113.518458,23.184797,113.530155,23.188423,133839.6667
101437000_862,2019/9/1 23:18,113.240408,23.408328,54,0,0,0,113.235062,23.410922,113.24695,23.414166,133839.6667
101437000_1168,2019/9/23 11:18,113.268155,23.255034,54,0,0,42,113.262818,23.257665,113.274579,23.261307,133839.6667
101437000_1776,2019/11/11 10:07,113.351868,22.986662,54,0,0,0,113.346411,22.989273,113.358417,22.992384,133839.6667
MA5AK2NB6_32,2020/10/12 8:00,113.390038,23.11759,54,0,255,0,113.384519,23.120094,113.396462,23.123882,133839.6667
MA59P1AN5_6538,2021/5/2 8:00,113.351868,22.986662,54,0,255,0,113.346411,22.989273,113.358417,22.992384,133839.6667
MA59P1AN5_6620,2021/5/2 8:00,113.240408,23.408328,54,0,255,0,113.235062,23.410922,113.24695,23.414166,133839.6667
MA1MY0GF9_26232,2021/6/8 8:00,113.185665,23.385636,54,0,2,0,113.180248,23.38816,113.192136,23.39171,133839.6667
101437000_7885,2022/2/9 15:45,113.466866,23.096603,54,0,0,0,113.461435,23.099185,113.473434,23.102285,133839.6667
MA5DT8Q54_4401110019,2022/5/28 8:01,113.304483,23.324279,54,0,1,0,113.299096,23.326851,113.310977,23.330379,133839.6667
101437000_11613,2022/9/14 15:28,113.356437,23.277765,54,0,0,0,113.350952,23.280255,113.36298,23.283543,133839.6667
101437000_20536,2023/8/7 14:41,113.392363,23.191667,54,0,0,54,113.386838,23.194141,113.398818,23.197984,133839.6667
101437000_1108,2019/9/18 8:00,113.389954,22.939098,52,0,0,0,113.384447,22.941678,113.396411,22.945396,128882.642
101437000_1076,2019/10/25 0:51,113.302829,23.317259,52,0,0,0,113.297446,23.319836,113.309322,23.323387,128882.642
101437000_3516,2020/5/15 16:58,113.203518,23.070236,52,0,0,52,113.198154,23.072894,113.210083,23.076019,128882.642
MA59P1AN5_6510,2021/5/2 8:00,113.302829,23.317259,52,0,255,0,113.297446,23.319836,113.309322,23.323387,128882.642
MA59P1AN5_6514,2021/5/2 8:00,113.389954,22.939098,52,0,255,0,113.384447,22.941678,113.396411,22.945396,128882.642
MA5CYYPT-1_S16044004165630,2021/8/28 8:00,113.331197,23.284117,52,0,9,0,113.325761,23.286652,113.337764,23.289813,128882.642
101437000_17429,2023/5/15 11:23,113.297212,23.254063,52,0,0,44,113.291842,23.256666,113.30365,23.26027,128882.642
101437000_17845,2023/5/25 14:52,113.324904,22.915801,52,0,0,20,113.319506,22.918492,113.331448,22.921561,128882.642
101437000_18595,2023/6/20 22:43,113.346826,23.170411,52,0,0,52,113.341366,23.172955,113.353401,23.176095,128882.642
101437000_25719,2023/12/14 17:45,113.185618,23.385516,52,0,0,4,113.180201,23.38804,113.192089,23.39159,128882.642
101437000_26841,2024/1/8 17:28,113.309353,22.99428,52,0,0,52,113.30398,22.996966,113.315837,23.000289,128882.642
101437000_35041,2024/7/15 14:54,113.619118,23.14346,52,0,0,52,113.614042,23.146311,113.625571,23.149614,128882.642
MA5APE392_LBHD02,2019/6/26 17:21,113.276542,22.975843,50,0,0,50,113.271217,22.978579,113.282978,22.982178,123925.6173
101437000_798,2019/8/30 10:40,113.401285,23.094648,50,0,0,0,113.395762,23.097156,113.407721,23.100989,123925.6173
101437000_936,2019/9/5 1:23,113.263453,23.235102,50,0,0,50,113.25812,23.237741,113.269894,23.241319,123925.6173
101437000_1138,2019/9/20 16:48,113.36377,23.017218,50,0,0,44,113.35829,23.019796,113.370274,23.023105,123925.6173
101437000_2610,2020/6/2 10:51,113.247286,23.243515,50,0,0,52,113.241954,23.246152,113.253777,23.249463,123925.6173
MA59J8YL8_0fa7b3707a463bb3,2020/12/8 8:00,113.39008,23.120375,50,0,255,0,113.384561,23.122878,113.396503,23.126667,123925.6173
321895837_1383,2021/4/15 20:41,113.438608,22.948846,50,0,255,0,113.433122,22.951437,113.445158,22.954702,123925.6173
MA59P1AN5_6623,2021/5/2 8:00,113.412918,23.136068,50,0,255,0,113.407394,23.138559,113.419345,23.14233,123925.6173
MA59P1AN5_6621,2021/5/2 8:00,113.263453,23.235102,50,0,255,0,113.25812,23.237741,113.269894,23.241319,123925.6173
MA59P1AN5_6588,2021/5/2 8:00,113.809964,23.26956,50,0,255,0,113.804842,23.272237,113.816514,23.275263,123925.6173
MA59P1AN5_6613,2021/5/2 8:00,113.401285,23.094648,50,0,255,0,113.395762,23.097156,113.407721,23.100989,123925.6173
MA59P1AN5_6558,2021/5/2 8:00,113.247286,23.243515,50,0,255,0,113.241954,23.246152,113.253777,23.249463,123925.6173
359705330_2f459c94ac001b8,2021/8/26 16:28,113.361399,23.283427,50,0,4,0,113.355904,23.285908,113.367933,23.28928,123925.6173
MA2KF49M9_MA9YC3091_001,2022/5/24 8:01,113.525505,22.821712,50,0,0,0,113.520288,22.824577,113.531957,22.828042,123925.6173
101437000_21824,2023/9/11 17:00,113.412153,22.956821,50,0,0,30,113.406641,22.959388,113.418616,22.963098,123925.6173
101437000_22951,2023/10/12 16:41,113.222202,23.073728,50,0,0,20,113.216864,23.076411,113.22879,23.079395,123925.6173
101437000_25553,2023/12/10 16:49,113.229604,23.11715,50,0,0,50,113.22427,23.119822,113.236149,23.122849,123925.6173
101437000_26529,2024/1/2 16:03,113.385224,23.100101,50,0,0,50,113.37971,23.102617,113.391674,23.106344,123925.6173
101437000_29919,2024/4/8 13:38,113.346559,23.09947,50,0,0,50,113.341104,23.102042,113.353125,23.10515,123925.6173
101437000_36609,2024/8/5 22:57,113.438637,22.948821,50,0,0,50,113.433152,22.951412,113.445187,22.954676,123925.6173
914401153_JT0144,2019/9/25 16:09,113.285816,23.330771,49,0,2,0,113.280457,23.333367,113.292258,23.337097,121447.1049
101437000_30295,2024/4/16 14:30,113.292137,23.225082,49,0,0,49,113.286777,23.227701,113.298576,23.231354,121447.1049
MA5DT8Q54_4401060453,2022/5/28 8:02,113.347845,23.170454,33,47,9,0,113.342383,23.172996,113.354419,23.176144,120620.9342
304520582_7de026ea82e54d7f93dd28bfeebaec03,2019/1/3 20:31,113.24636,23.280227,48,0,255,0,113.241025,23.282852,113.252873,23.286163,118968.5926
MA59EU2Y3_11701,2019/4/2 18:27,113.486114,23.178504,48,0,6,0,113.480737,23.181105,113.492644,23.184439,118968.5926
101437000_187,2019/6/5 21:28,113.36453,23.11094,48,0,0,0,113.359042,23.113477,113.371039,23.116842,118968.5926
101437000_816,2019/8/31 23:28,113.308655,23.330004,48,0,0,0,113.30326,23.332568,113.31516,23.33603,118968.5926
101437000_2018,2019/11/29 11:36,113.192449,23.413425,48,0,0,48,113.187043,23.415957,113.198971,23.419384,118968.5926
101437000_2614,2019/12/24 15:37,113.352505,22.961193,48,0,0,0,113.347048,22.963814,113.359076,22.966927,118968.5926
MA5AK2NB6_34,2020/10/12 8:00,113.212112,23.071222,48,0,255,0,113.206761,23.073892,113.218695,23.076915,118968.5926
101437000_4948,2020/12/3 10:47,113.329047,23.078111,48,0,0,48,113.323629,23.080725,113.335623,23.083829,118968.5926
101437000_4964,2020/12/30 16:50,113.24407,23.138929,48,0,0,0,113.238744,23.141602,113.250574,23.144822,118968.5926
MA5D0YNG8_215,2021/2/4 19:21,113.39991,23.116339,48,0,2,0,113.394386,23.118838,113.406326,23.122676,118968.5926
MA59P1AN5_6543,2021/5/2 8:00,113.192449,23.413425,48,0,255,0,113.187043,23.415957,113.198971,23.419384,118968.5926
MA59P1AN5_6618,2021/5/2 8:00,113.30253,23.322037,48,0,255,0,113.297147,23.324613,113.309019,23.32817,118968.5926
MA59P1AN5_6601,2021/5/2 8:00,113.24407,23.138929,48,0,255,0,113.238744,23.141602,113.250574,23.144822,118968.5926
MA5CYFRA7_5790,2021/5/11 18:17,113.33918,23.169367,48,0,255,0,113.333735,23.171925,113.345759,23.175029,118968.5926
101437000_5870,2021/6/25 11:27,113.339006,23.169288,48,0,0,0,113.333562,23.171847,113.345585,23.17495,118968.5926
MA5DT8Q54_4401110224,2022/1/8 8:01,113.218678,23.225867,48,0,2,0,113.213325,23.228486,113.225242,23.231527,118968.5926
101437000_8121,2022/2/25 12:21,113.188737,23.064543,48,0,0,0,113.183348,23.067177,113.195251,23.070569,118968.5926
101437000_11065,2022/8/16 9:45,113.309445,23.034372,48,0,0,0,113.304069,23.03704,113.315937,23.040381,118968.5926
101437000_11675,2022/9/24 13:22,113.388092,23.365673,48,0,0,0,113.382558,23.3681,113.394516,23.371945,118968.5926
101437000_13031,2022/11/11 10:12,113.307206,23.039379,48,0,0,0,113.301834,23.042049,113.313695,23.045428,118968.5926
101437000_13887,2022/12/20 17:04,113.389215,23.131777,48,0,0,0,113.383696,23.134276,113.395637,23.13806,118968.5926
101437000_14141,2022/12/23 19:16,113.314274,23.215559,48,0,0,0,113.308877,23.218147,113.320794,23.221484,118968.5926
101437000_15117,2023/2/27 11:22,113.320564,23.253528,48,0,0,0,113.315152,23.256092,113.327081,23.259345,118968.5926
101437000_19627,2023/7/16 22:35,113.431347,22.96588,48,0,0,48,113.42585,22.968455,113.437865,22.971859,118968.5926
101437000_24863,2023/11/26 10:07,113.267601,23.078841,48,0,0,48,113.262276,23.081538,113.274063,23.085115,118968.5926
101437000_24865,2023/11/26 10:07,113.372311,22.924673,48,0,0,48,113.366824,22.927278,113.378807,22.930715,118968.5926
101437000_26809,2024/1/8 14:26,113.348389,23.299457,48,0,0,48,113.342917,23.301955,113.354969,23.305153,118968.5926
101437000_28111,2024/2/19 12:16,113.415965,23.120467,48,0,0,48,113.410443,23.122965,113.422401,23.126692,118968.5926
101437000_31427,2024/5/10 9:04,113.807551,23.297528,48,0,0,48,113.802422,23.300193,113.814122,23.30326,118968.5926
101437000_35443,2024/7/21 11:54,113.291818,23.269227,48,0,0,48,113.286455,23.271832,113.298251,23.275502,118968.5926
914401153_JT0135,2019/8/2 8:00,113.253863,23.25122,47,0,2,0,113.24853,23.253856,113.260329,23.257284,116490.0803
MA59P1AN5_6546,2021/5/2 8:00,113.225609,23.05933,47,0,255,0,113.220275,23.062022,113.232192,23.065008,116490.0803
101437000_31943,2024/5/21 10:01,113.378973,23.136248,47,0,0,47,113.373463,23.138755,113.385423,23.142398,116490.0803
101437000_29423,2024/3/27 12:01,113.36163,22.956223,42,14,0,42,113.356157,22.95883,113.368178,22.962082,115663.9095
MA5AUTPR8_126906,2024/7/17 14:12,113.289303,23.032538,44,8,10,100,113.28396,23.035237,113.295734,23.038837,115663.9095
101437000_4416,2020/9/2 23:43,113.809964,23.26956,46,0,0,0,113.804842,23.272237,113.816514,23.275263,114011.5679
321895837_1525,2021/4/15 20:41,113.366401,22.996682,46,0,255,0,113.360918,22.999265,113.372899,23.002615,114011.5679
101437000_6939,2021/11/30 10:07,113.399106,22.992252,46,0,0,0,113.39359,22.994804,113.405525,22.998589,114011.5679
